has_a,ttl,has_mx,has_spf
1,300,1,1
1,300,1,1
1,300,1,0
1,100,0,0
1,3600,1,1
1,3600,1,0
1,54,0,0
1,3600,0,0
1,28800,1,1
1,300,1,1
0,0,0,0
1,300,1,1
1,7200,1,1
1,3600,1,1
1,8,1,1
1,86400,1,0
0,0,0,0
1,60,0,0
1,8,1,1
1,300,1,0
0,0,0,0
1,60,0,0
1,900,1,1
0,0,0,0
1,3600,1,1
1,900,1,1
1,60,1,1
1,86400,1,0
1,3600,1,0
1,300,1,1
1,600,1,1
1,300,1,1
0,0,0,0
0,0,0,0
1,0,1,1
1,300,1,0
1,300,1,1
1,60,0,0
1,8,1,1
1,3600,1,1
1,300,0,0
1,3600,0,0
1,600,0,0
0,0,0,0
0,0,0,0
1,300,1,1
1,300,0,0
1,3554,0,0
1,900,1,0
1,2442,0,0
0,0,0,0
1,7200,1,1
1,300,1,0
1,300,1,0
1,14400,1,1
1,1800,1,1
1,21600,1,1
1,300,0,0
1,7200,1,1
1,42,1,1
1,300,1,1
1,3600,0,0
1,300,0,1
1,14400,1,1
1,3600,1,0
1,300,1,1
0,0,0,0
1,122,1,0
0,0,0,0
1,300,1,1
1,3600,1,1
1,67,0,0
1,38,1,1
1,60,1,1
1,60,0,0
1,14400,1,1
0,0,0,0
1,298,0,0
0,0,0,0
0,0,1,1
1,300,0,1
1,119,1,1
1,3600,1,1
0,0,0,0
1,135,0,0
1,300,0,0
1,60,0,1
1,10800,0,1
1,10798,0,1
1,3598,1,1
1,300,0,0
0,0,0,0
1,2190,1,0
1,3600,1,0
1,300,1,1
0,0,0,0
1,300,1,1
1,300,1,1
1,3600,0,1
1,298,0,1
1,142,1,1
0,0,1,1
1,598,1,1
0,0,0,0
1,60,0,0
1,600,0,0
1,300,1,0
0,0,0,0
1,86400,1,1
1,600,1,1
1,3600,0,0
1,300,1,1
0,0,0,0
1,300,1,1
1,86400,1,0
0,0,1,1
1,3600,1,1
0,0,0,0
0,0,0,0
1,300,1,1
1,300,0,0
